System,Plane,Atoms,Energy,Electrons,Bands,NKpoints,Kx,Ky,Kz,Drift_x, Drift_y,Drift_z
Bi2Se3,001,30,-122.99983479,288.0000,192,19,12.0,12.0,1.0,-7e-06,3e-06,0.007456
Bi2Se3,010,30,-115.64761683,288.0000,192,28,12.0,2.0,3.0,-20.6604,1.32933,12.2003
Bi2Se3,100,30,,288.0000,256,28,12.0,2.0,3.0,0,0,0
Bi2Se3,111,30,-116.87060780,288.0000,192,22,7.0,2.0,3.0,0.006531,0.181278,-0.186321
Bi2Te3,001,30,-112.20610835,288.0000,192,19,12.0,12.0,1.0,-1.4e-05,9e-06,-0.001522
Bi2Te3,010,30,-104.97349098,288.0000,192,28,12.0,2.0,3.0,-7.7997,0.035974,4.49305
Bi2Te3,100,30,-104.80507398,288.0000,192,28,12.0,2.0,3.0,-5.50567,0.097563,3.36812
Bi2Te3,111,30,-105.30408450,288.0000,192,22,7.0,2.0,3.0,-0.097315,-1.23779,0.213457
Sb2Se3,001,60,-239.92272900,336.0000,256,21,13.0,5.0,1.0,0,-0.029587,0.002336
Sb2Se3,010,60,-238.86940750,336.0000,256,21,13.0,4.0,1.0,0,-0.030588,0.008324
Sb2Se3,100,60,-233.07315878,336.0000,256,18,5.0,4.0,2.0,0,0.010995,-0.006461
Sb2Se3,111,60,-231.57549888,336.0000,256,22,5.0,4.0,2.0,-0.008801,-0.011354,0.004163
Sb2Te3,001,30,-109.80968014,168.0000,128,19,12.0,12.0,1.0,-0.003322,0.001918,0.456054
Sb2Te3,010,30,-103.93961808,168.0000,128,28,12.0,2.0,3.0,-2.12161,-0.019313,1.23633
Sb2Te3,100,30,-104.15621627,168.0000,128,28,12.0,2.0,3.0,-1.68244,0.02173,0.948265
Sb2Te3,111,30,-104.73234407,168.0000,128,22,7.0,2.0,3.0,0.034866,0.025725,0.024308
