System,Plane,Atoms,Energy,Electrons,Bands,NKpoints,Kx,Ky,Kz,Drift_x,Drift_y,Drift_z
Bi2Se3,001,30,-682.27829375,288.0000,384,144,12.0,12.0,1.0,,,
Bi2Se3,010,30,-124.23552409,288.0000,384,72,12.0,2.0,3.0,-0.001502,0.028210,0.012782
Bi2Se3,100,30,-123.35945373,288.0000,384,72,12.0,2.0,3.0,0.016667,0.031063,-0.003279
Bi2Se3,111,30,-125.28317785,288.0000,384,42,7.0,2.0,3.0,-0.000818,-0.002294,0.022352
Bi2Te3,001,30,-7688.57691190,288.0000,384,144,12.0,12.0,1.0,,,
Bi2Te3,010,30,-116.17050165,288.0000,384,72,12.0,2.0,3.0,0.001904,0.003879,-0.016907
Bi2Te3,100,30,-115.90901465,288.0000,384,72,12.0,2.0,3.0,-0.010279,-0.008661,-0.017595
Bi2Te3,111,30,-116.00199907,288.0000,384,42,7.0,2.0,3.0,0.001505,-0.008665,-0.019004
Sb2Se3,001,60,-241.86192396,336.0000,512,65,13.0,5.0,1.0,-0.000022,0.019142,0.001321
Sb2Se3,010,60,-240.82092591,336.0000,512,52,13.0,4.0,1.0,-0.000005,0.012679,0.006826
Sb2Se3,100,60,-235.10937755,336.0000,512,40,5.0,4.0,2.0,-0.000003,0.004553,-0.001486
Sb2Se3,111,60,-233.65589924,336.0000,512,40,5.0,4.0,2.0,-0.000523,0.004683,-0.000018
Sb2Te3,001,30,-39220.17717496,168.0000,256,144,12.0,12.0,1.0,,,
Sb2Te3,010,30,-106.79372074,168.0000,256,72,12.0,2.0,3.0,-0.009648,-0.003787,0.002524
Sb2Te3,100,30,-106.98437670,168.0000,256,72,12.0,2.0,3.0,-0.006688,-0.004100,0.003327
Sb2Te3,111,30,-107.39392326,168.0000,256,42,7.0,2.0,3.0,0.000500,-0.006684,0.000464
